Year,Month,Day,Hour,Minute,Second,Spacecraft,ShockType,MagneticFieldRatio,SpeedJump(km/s),ProtonDensityRatio,ProtonTemperatureRatio,AlfvenSpeedUpstream(km/s),MagnetosonicSpeedUpstream(km/s),PlasmaBetaUpstream,ShockNormalX,ShockNormalY,ShockNormalZ,ShockTheta(degrees),ShockSpeed(km/s),MagnetosonicMachNumber
2016,7,19,23,2,3,     Wind,FF,4.65,118.17,3.14,5.19,25.01,44.54,4.37,-0.97,-0.04,0.23,70.31,493.23,3.96
2016,6,14,11,4,21,     Wind,FF,1.31,25.2,1.27,1.08,47.89,62.94,1.46,-0.97,0.22,-0.05,28.97,492.16,1.85
2016,4,14,6,56,51,     Wind,FF,1.84,48.02,1.52,1.57,36.58,57.26,2.9,-0.95,-0.2,-0.24,49.04,576.66,2.64
2016,4,13,0,4,3,     Wind,FR,1.55,51.29,1.71,1.5,88.15,102.98,0.75,0.96,-0.27,0.07,44.89,357.59,1.31
2016,3,23,19,55,18,     Wind,FR,1.42,22.99,1.26,1.14,48.08,65.48,1.74,0.8,0.4,0.46,86.92,247.13,2.1
2016,3,14,16,16,33,     Wind,FF,1.81,28.07,2.07,1.14,33.36,53.74,3.2,-0.88,-0.48,0.06,65.07,404.7,1.24
2016,3,11,19,2,27,     Wind,FR,1.89,88.89,2.94,2.83,62.91,82.72,1.46,0.94,-0.11,-0.33,71,364.21,1.75
2016,3,11,4,29,12,     Wind,FF,1.73,34.1,2.22,1.73,31.16,49.58,3.07,-0.88,0.46,0.05,28.1,322.18,1.27
2016,3,7,3,41,42,     Wind,FR,1.89,68.35,1.74,1.34,69.39,86.35,1.19,0.96,0.29,0.01,74.35,402.22,1.8
2016,2,13,15,6,21,     Wind,FR,1.46,29.77,1.53,1.51,55.64,69.93,1.16,0.81,0.39,-0.44,88.34,245.34,1.49
2016,1,21,10,6,51,     Wind,FR,1.73,107.95,1.91,1.6,67.98,86.76,1.3,0.84,0.54,0.05,76.32,265.68,1.94
2016,1,18,21,20,48,     Wind,FF,1.96,59.78,2.29,2.62,44.53,58.45,1.45,-0.82,0.5,-0.3,54.79,356.04,1.87
2016,1,6,1,9,27,     Wind,FR,1.49,26.05,1.65,1.46,64.5,80.61,1.16,0.85,-0.43,-0.31,49.25,400.91,0.94
2015,12,31,0,17,54,     Wind,FF,2.2,66.56,2.27,3.99,39.54,55.11,2.02,-0.7,0.09,-0.71,42.61,403.66,2.94
2015,12,19,15,38,24,     Wind,FF,2.49,112.39,2.25,4.87,42.55,59.07,1.87,-0.99,-0.12,-0.03,64.87,562.72,3.41
2015,12,14,12,41,15,     Wind,FF,2.16,32.34,1.94,1.66,33.35,52.7,3.18,-0.86,-0.16,0.49,65.62,431.2,1.63
2015,12,7,12,31,48,     Wind,FR,1.5,35.53,1.4,1.07,89.29,112.12,1.17,0.56,0.51,0.65,58.84,119.16,2.13
2015,11,18,19,31,21,     Wind,FF,1.32,46.26,1.66,1.55,63.34,77.97,1.05,-0.93,-0.17,-0.34,77.6,496.1,1.43
2015,11,6,17,45,3,     Wind,FF,2.45,85.25,1.2,2.38,66.45,76.98,0.71,-0.98,-0.12,-0.13,46.49,943.4,6.48
2015,11,4,3,26,6,     Wind,FF,1.85,34.47,2.05,2.09,66.15,84.47,1.26,-0.62,-0.3,0.73,55.15,509.54,1.31
2015,11,3,18,39,54,     Wind,FR,1.44,25.95,1.3,1.28,76,98.87,1.45,0.76,0.65,-0.03,83.9,347.89,1.67
2015,11,3,11,16,51,     Wind,FR,1.45,156.23,2.39,3.68,79.68,99.13,1.11,0.87,0.49,-0.06,75.3,257.67,3.23
2015,10,24,18,4,9,     Wind,FF,1.23,38.51,2.84,7.38,44.02,60.77,1.84,-0.39,0.91,-0.16,26.54,300.3,2.27
2015,9,20,5,23,21,     Wind,FF,2.2,91.77,1.9,2.63,77.24,91.82,0.83,-0.8,0.19,0.57,50.66,607.53,2.72
2015,9,4,14,34,39,     Wind,FR,1.39,31.41,1.27,1.1,73.86,90.93,1.06,0.93,0.29,-0.21,80.36,310.15,1.56
2015,8,15,7,43,42,     Wind,FF,2.18,81.46,2.26,3.67,67.89,77.69,0.62,-0.82,-0.16,0.55,59.2,455.6,2.08
2015,8,7,5,32,18,     Wind,FF,1.47,37.83,1.52,1.52,60.8,76.58,1.18,-0.9,-0.38,-0.23,78.59,553.87,1.49
2015,7,13,1,5,48,     Wind,FF,1.48,22.3,1.33,1.15,76.4,89.06,0.72,-0.63,0.2,0.75,74.88,532.38,1.91
2015,6,27,2,34,42,     Wind,FF,1.8,27.8,2.69,1.65,121.94,128.19,0.21,-0.51,0.45,-0.73,52.71,398.63,1.1
2015,6,25,5,2,39,     Wind,FF,1.63,55.49,1.55,1.18,57.89,78.69,1.71,-0.95,-0.04,-0.32,65.08,719.84,2.1
2015,6,24,13,7,15,     Wind,FF,1.98,114.81,2.01,4.3,107.93,115.61,0.3,-0.62,-0.35,-0.7,83.33,696.45,2.64
2015,6,22,18,8,17,     Wind,FF,3.34,241.42,3.63,6.7,51.88,74.62,2.15,-0.98,-0.11,-0.17,62.15,766.77,4.75
2015,6,22,5,4,45,     Wind,FF,1.99,55.86,2.02,2.04,49.23,65.42,1.54,-0.81,-0.46,-0.38,81.92,424.44,1.96
2015,6,21,16,4,18,     Wind,FF,2.41,55.25,2.62,3.82,9.53,37.38,29.18,-0.62,-0.68,-0.4,83.71,309.11,2.97
2015,6,12,12,33,54,     Wind,FF,1.34,29.56,1.94,1.93,27.22,48.85,4.45,-0.92,-0.23,-0.31,27.73,493.55,1.37
2015,6,8,11,8,39,     Wind,FR,2.27,43.07,2.28,1.54,78.07,97.47,1.12,0.49,0.85,-0.17,69.34,71.47,2.36
2015,5,13,9,58,21,     Wind,FR,2.35,82.01,1.79,1.12,62.85,81.57,1.37,0.86,0.48,-0.2,22.63,328.86,2.55
2015,5,6,0,55,51,     Wind,FF,2.22,78.61,1.98,2.54,53.54,65.88,1.09,-0.97,-0.18,-0.18,85.43,531.7,2.46
2015,5,1,14,42,24,     Wind,FF,1.28,27.16,1.36,2.09,85.47,96.17,0.53,-0.84,-0.34,-0.42,53.59,462.8,1.35
2015,4,17,2,40,45,     Wind,FR,1.36,45.53,1.44,1.18,76.15,95.11,1.13,0.42,0.88,-0.21,34.83,149.69,1.71
2015,4,16,5,36,9,     Wind,FR,1.67,48.38,1.6,2.21,85.78,98.46,0.64,0.94,0.25,-0.23,44.66,397.7,1.41
2015,4,9,1,5,18,     Wind,FF,1.66,40,1.63,1.13,35.45,53.57,2.58,-0.96,-0.19,0.22,24.08,409.16,1.91
2015,4,3,8,43,42,     Wind,FR,1.33,24.29,1.32,1.72,63.58,78.12,1.03,0.7,0.52,0.49,79.38,224.66,1.98
2015,3,31,7,31,9,     Wind,FF,1.83,40.46,1.99,1.92,54.08,65.91,0.98,-0.91,-0.4,-0.08,72.97,405.48,1.36
2015,3,21,20,18,21,     Wind,FF,1.45,38.34,1.47,1.88,109.66,117.14,0.28,-0.76,-0.38,0.53,75.79,622.28,1.43
2015,3,17,4,0,3,     Wind,FF,2.52,109,2.43,3.5,53.57,65.85,1.03,-0.92,-0.17,0.37,63.12,561.66,2.87
2015,3,11,4,21,18,     Wind,FF,1.38,37.14,1.52,1.38,45.66,64.81,2.04,-0.92,0.34,-0.18,44.62,424.88,1.17
2015,2,2,4,12,18,     Wind,FR,1.85,51.22,1.99,2.17,59,79.84,1.71,0.82,0.57,0,58.92,388.75,1.98
2015,1,26,7,52,3,     Wind,FF,1.52,20.14,1.32,1.14,52.14,64.84,1.09,-0.44,0.18,0.88,67.71,303.51,2.13
2015,1,7,5,39,9,     Wind,FF,1.7,36.27,1.73,1.89,55.33,67.52,0.98,-0.93,-0.36,-0.11,88.5,493.61,1.33
2015,1,6,3,46,48,     Wind,FF,1.31,22.02,1.49,1.49,85.14,98.32,0.67,-0.82,0.06,-0.57,68.51,478.22,0.76
2014,12,22,14,30,12,     Wind,FF,1.42,66.5,1.64,1.68,139.76,144.47,0.14,-0.85,0.47,0.22,45.28,468.89,1.08
2014,12,21,18,38,30,     Wind,FF,1.85,68.68,1.98,2.06,70.34,80.39,0.62,-0.9,-0.41,0.15,61.77,474.78,1.63
2014,12,21,2,33,48,     Wind,FF,1.26,29.83,1.38,1.42,61.13,73.18,0.87,-0.84,0.34,-0.42,50.59,362.88,1.14
2014,12,6,21,8,57,     Wind,FR,1.93,40.48,1.8,2.47,76.56,91.16,0.85,0.98,0.19,-0.09,45.13,590.02,0.93
2014,10,16,20,11,43, STEREO-A,FF,3.18,152.13,5.65,3.66,58.27,70.69,0.95,0.39,0.43,0.82,64.64,197.65,1.01
2014,9,25,17,6,6, STEREO-B,FF,1.74,92.75,1.68,1.1,63.91,91.1,2.11,0.98,-0.19,0.08,50,764.68,2.52
2014,9,25,14,9,54, STEREO-B,FF,2.43,154.63,3.86,3.5,45,66.25,2.47,0.49,-0.42,0.76,27.5,398.44,2.99
2014,9,25,5,34,15, STEREO-B,FF,1.86,49.5,2.36,0.93,54.46,73.31,1.65,0.89,0.26,-0.38,89.71,424.43,0.94
2014,9,12,15,16,57,     Wind,FF,3.01,228.34,2.63,6.59,89.1,98.72,0.46,-0.88,-0.27,-0.39,64.28,746.91,3.79
2014,9,11,22,49,42,     Wind,FF,1.56,74.71,2.26,2.23,50.06,65.65,1.45,-0.93,0.08,0.35,29.94,454.57,1.83
2014,8,31,17,45,3, STEREO-B,FF,1.86,56.88,5.2,2.3,49.49,64.15,1.37,0.97,0.25,0.03,22.36,400.26,1.06
2014,8,19,5,48,33,     Wind,FF,1.6,20.61,1.78,1.29,34.66,50.68,2.28,-0.65,-0.28,0.7,84.73,271.46,1.28
2014,8,11,9,3,27, STEREO-A,FF,1.9,123.25,3.85,6.72,156.63,161.07,0.12,0.8,-0.2,-0.56,38.52,447.23,0.91
2014,8,6,12,35,33, STEREO-B,FF,1.83,38.13,3.03,3.79,38.05,53.28,2.09,0.69,-0.47,-0.55,3.48,238.07,0.74
2014,7,27,9,47,53, STEREO-A,FF,1.68,21.75,1.88,1.58,34.74,51.49,2.4,0.84,0.54,0.11,89.5,326.12,1.22
2014,7,14,13,38,9,     Wind,FF,1.69,23.56,1.44,1.54,33.14,49.86,2.57,-0.97,-0.08,0.24,89.04,413.05,1.66
2014,7,12,17,19,11, STEREO-A,FF,2.29,76.38,2.41,2.12,70.47,79.79,0.58,0.71,-0.21,0.67,74.27,402.04,1.79
2014,7,6,10,7,18,     Wind,FF,1.48,22.97,2.53,2.2,20.14,41.89,6.68,-0.62,-0.28,-0.73,59.66,223.07,1.16
